"Type","M","F","I","E","N"
"MM1",0.45,0.1,0.2,0.15,0.2
"MM2",0.5,0.15,0.2,0.05,0.25
"MM3",0.35,0.1,0.45,0.05,0.15
"MM4",0.5,0.05,0.3,0.05,0.2
"MF1",0.15,0.45,0.1,0.1,0.3
"MF2",0.2,0.35,0.2,0.1,0.25
"MF3",0.15,0.3,0.2,0.1,0.3
"MF4",0.15,0.45,0.15,0.05,0.35
"FM1",0,0.7,0.1,0.1,0.2
"FM2",0,0.75,0.05,0.15,0.2
"FM3",0,0.45,0.2,0.15,0.3
"FM4",0,0.65,0.05,0.15,0.25
"MI1",0.1,0,0.5,0.15,0.3
"MI2",0.2,0.15,0.4,0.05,0.3
"MI3",0.1,0.1,0.45,0.1,0.3
"MI4",0.15,0.1,0.45,0.1,0.3
"IM1",0.1,0.25,0.3,0.1,0.3
"IM2",0,0.2,0.45,0.05,0.3
"IM3",0.05,0.15,0.5,0.05,0.35
"IM4",0,0.25,0.45,0.1,0.3
"ME1",0.15,0.1,0.1,0.35,0.4
"ME2",0.05,0.35,0.1,0.25,0.35
"ME3",0.1,0.2,0.15,0.3,0.35
"ME4",0.15,0.15,0.05,0.35,0.4
"EM1",0.05,0.35,0.2,0.35,0.15
"EM2",0.05,0.5,0.05,0.3,0.2
"EM3",0.05,0.2,0.15,0.35,0.35
"EM4",0.05,0.35,0.1,0.25,0.35
"FF1",0.05,0.45,0.1,0.1,0.3
"FF2",0,0.35,0.2,0.25,0.35
"FF3",0.1,0.35,0.1,0.2,0.35
"FF4",0,0.55,0.1,0.15,0.3
"FI1",0,0.3,0.35,0.15,0.3
"FI2",0.05,0.4,0.15,0.2,0.35
"FI3",0.05,0.35,0.25,0.2,0.3
"FI4",0,0.55,0.15,0.05,0.35
"IF1",0.15,0.35,0.25,0.1,0.3
"IF2",0.05,0.4,0.25,0.2,0.3
"IF3",0,0.4,0.3,0.05,0.35
"IF4",0,0.25,0.45,0.05,0.3
"FE1",0,0.2,0.15,0.3,0.45
"FE2",0.05,0.15,0.1,0.4,0.4
"FE3",0.05,0.1,0.15,0.3,0.45
"FE4",0.05,0.1,0.15,0.25,0.5
"EF1",0.15,0.05,0.15,0.25,0.45
"EF2",0.1,0.15,0.25,0.25,0.35
"EF3",0.05,0.1,0.2,0.35,0.35
"EF4",0.1,0.15,0.15,0.3,0.35
"II1",0,0.1,0.5,0.05,0.35
"II2",0.05,0.05,0.55,0.05,0.3
"II3",0.05,0.15,0.45,0.1,0.35
"II4",0,0.05,0.6,0.05,0.3
"IE1",0.1,0,0.2,0.35,0.4
"IE2",0.05,0.15,0.25,0.25,0.45
"IE3",0,0.1,0.35,0.2,0.4
"IE4",0.05,0.2,0.2,0.3,0.35
"EI1",0,0.2,0.3,0.25,0.3
"EI2",0.05,0.05,0.35,0.3,0.35
"EI3",0,0.1,0.3,0.25,0.4
"EI4",0.05,0.3,0.2,0.3,0.25
"EE1",0.15,0.05,0.2,0.3,0.35
"EE2",0.15,0.1,0.2,0.3,0.4
"EE3",0.1,0,0.2,0.3,0.45
"EE4",0.15,0,0.2,0.35,0.4
