"Type","A","I","E","O","N"
"AA1",0.8987,0.0506,0,0,0.019
"AA2",0.5823,0.0823,0.0127,0.0127,0.2848
"AA3",0.5696,0.2911,0,0,0.1392
"AA4",0.7532,0.1646,0.0127,0.0063,0.0443
"AI1",0,0.9241,0.0253,0.0253,0.0253
"AI2",0,0.5696,0.0253,0.1076,0.2911
"AI3",0.0127,0.8861,0.0127,0.0253,0.0443
"AI4",0,0.7089,0,0.0127,0.2658
"IA1",0,0.7152,0,0.0633,0.2152
"IA2",0.1329,0.4873,0.0253,0.1203,0.3101
"IA3",0.019,0.8481,0.0063,0.038,0.057
"IA4",0,0.9114,0.0127,0.0063,0.0443
"AE1",0,0.0253,0.5949,0.057,0.3165
"AE2",0,0,0.8797,0.0127,0.057
"AE3",0,0.0127,0.6139,0.1329,0.2278
"AE4",0,0.0253,0.8671,0.019,0.0253
"EA1",0,0.0127,0.8671,0.0253,0.0443
"EA2",0,0,0.8861,0.0316,0.038
"EA3",0,0,0.6392,0.2152,0.1203
"EA4",0.0127,0.0253,0.6139,0.0823,0.2405
"AO1",0.0127,0.0633,0.0127,0.5696,0.3101
"AO2",0,0.0633,0.0253,0.6709,0.2152
"AO3",0,0.1013,0,0.6646,0.1899
"AO4",0,0.0506,0.0253,0.7152,0.1962
"OA1",0,0.0316,0.0253,0.6772,0.2342
"OA2",0,0.1139,0.0506,0.5633,0.2278
"OA3",0,0.1456,0.0316,0.6899,0.0823
"OA4",0.0127,0.0253,0.0633,0.2722,0.3291
"II1",0,0.4051,0.0253,0.0443,0.5063
"II2",0.0127,0.4241,0.0316,0.0253,0.4937
"II3",0,0.2405,0.0253,0.0127,0.7152
"II4",0,0.4241,0,0.0127,0.5696
"IE1",0.0127,0.0127,0.2215,0.1646,0.5696
"IE2",0,0,0.3924,0.3038,0.2722
"IE3",0,0.0127,0.2975,0.3291,0.3481
"IE4",0,0.0063,0.2785,0.443,0.2405
"EI1",0,0.0506,0.1456,0.6646,0.1392
"EI2",0.0127,0.0127,0.2089,0.519,0.2152
"EI3",0,0.0633,0.1519,0.481,0.2722
"EI4",0,0.019,0.3165,0.2658,0.3734
"IO1",0.0253,0.038,0.0127,0.3038,0.6076
"IO2",0.0127,0.0506,0.038,0.3671,0.4873
"IO3",0,0.0949,0.0127,0.2911,0.5886
"IO4",0,0.0506,0.0127,0.443,0.4684
"OI1",0.038,0.0633,0,0.3544,0.538
"OI2",0,0.0823,0.0253,0.3544,0.5
"OI3",0.0127,0.0886,0.0127,0.3101,0.5633
"OI4",0.0253,0.0759,0.019,0.2911,0.5506
"EE1",0,0.0127,0.3418,0.0127,0.6076
"EE2",0.0253,0.0253,0.1392,0.0316,0.7722
"EE3",0,0,0.1772,0.0253,0.7785
"EE4",0,0.0253,0.3101,0.0063,0.6329
"EO1",0.0127,0.0759,0.0759,0.2342,0.5949
"EO2",0,0.1329,0.0696,0.1139,0.6519
"EO3",0,0,0.0886,0.2848,0.5823
"EO4",0,0.0506,0.0823,0.1203,0.7025
"OE1",0.0127,0,0.1392,0.0506,0.7722
"OE2",0,0.0759,0.1076,0.1646,0.6266
"OE3",0,0.0506,0.1203,0.1772,0.6076
"OE4",0,0.1899,0.0949,0.1392,0.5633
"OO1",0.0127,0.0759,0.0127,0.2215,0.6646
"OO2",0,0.1646,0.0506,0.1013,0.6835
"OO3",0.0127,0.0633,0,0.1519,0.7658
"OO4",0.0127,0.0443,0.0063,0.2468,0.6456
