"Type","A","I","E","O","N"
"AA1",0.954545455,0,0,0,0.045454545
"AA2",0.772727273,0,0,0,0.227272727
"AA3",0.590909091,0.272727273,0,0,0.136363636
"AA4",0.590909091,0.227272727,0,0.045454545,0.136363636
"AI1",0,1,0,0,0
"AI2",0,0.818181818,0,0.045454545,0.136363636
"AI3",0,0.909090909,0,0,0.090909091
"AI4",0,0.681818182,0,0.090909091,0.227272727
"IA1",0,0.727272727,0,0,0.272727273
"IA2",0.045454545,0.636363636,0,0.045454545,0.272727273
"IA3",0.045454545,0.909090909,0.045454545,0,0
"IA4",0,0.909090909,0,0.045454545,0.045454545
"AE1",0,0,0.5,0,0.5
"AE2",0,0,0.954545455,0,0.045454545
"AE3",0,0,0.636363636,0.181818182,0.181818182
"AE4",0,0,0.863636364,0.045454545,0.090909091
"EA1",0,0,1,0,0
"EA2",0,0,0.954545455,0.045454545,0
"EA3",0,0,0.818181818,0.181818182,0
"EA4",0,0,0.545454545,0.272727273,0.181818182
"AO1",0,0,0,0.863636364,0.136363636
"AO2",0,0,0,0.909090909,0.090909091
"AO3",0,0.045454545,0,0.636363636,0.318181818
"AO4",0,0,0,0.681818182,0.318181818
"OA1",0,0,0,0.772727273,0.227272727
"OA2",0,0,0.090909091,0.681818182,0.227272727
"OA3",0,0,0,0.954545455,0.045454545
"OA4",0,0,0,0.636363636,0.363636364
"II1",0,0.5,0,0.045454545,0.454545455
"II2",0,0.636363636,0.045454545,0,0.318181818
"II3",0,0.363636364,0,0,0.636363636
"II4",0,0.409090909,0,0,0.590909091
"IE1",0,0,0.318181818,0.090909091,0.590909091
"IE2",0,0,0.227272727,0.454545455,0.318181818
"IE3",0,0,0.363636364,0.409090909,0.227272727
"IE4",0,0.045454545,0.227272727,0.363636364,0.363636364
"EI1",0,0,0.136363636,0.681818182,0.181818182
"EI2",0,0,0.136363636,0.727272727,0.136363636
"EI3",0,0,0.181818182,0.545454545,0.272727273
"EI4",0,0,0.227272727,0.409090909,0.363636364
"IO1",0,0.045454545,0,0.409090909,0.545454545
"IO2",0,0,0,0.590909091,0.409090909
"IO3",0,0,0,0.318181818,0.681818182
"IO4",0,0,0,0.409090909,0.590909091
"OI1",0,0.045454545,0,0.409090909,0.545454545
"OI2",0,0,0,0.363636364,0.636363636
"OI3",0,0,0,0.5,0.5
"OI4",0,0,0.045454545,0.318181818,0.636363636
"EE1",0,0,0.272727273,0,0.727272727
"EE2",0,0,0.272727273,0.045454545,0.681818182
"EE3",0,0,0.227272727,0,0.772727273
"EE4",0,0,0.181818182,0.045454545,0.772727273
"EO1",0,0.045454545,0.181818182,0.227272727,0.545454545
"EO2",0,0.136363636,0.090909091,0.045454545,0.727272727
"EO3",0,0,0.090909091,0.045454545,0.863636364
"EO4",0,0,0.181818182,0.045454545,0.772727273
"OE1",0,0,0.181818182,0,0.818181818
"OE2",0,0.136363636,0.136363636,0,0.727272727
"OE3",0,0.090909091,0.181818182,0.045454545,0.681818182
"OE4",0,0.045454545,0.090909091,0.181818182,0.681818182
"OO1",0,0,0,0.272727273,0.727272727
"OO2",0,0.090909091,0,0.136363636,0.772727273
"OO3",0,0.090909091,0,0.136363636,0.772727273
"OO4",0,0.045454545,0.045454545,0.090909091,0.818181818
