"Type","A","I","E","O","N"
"AA1",0.97,0.02,0,0,0
"AA2",0.47,0.04,0,0,0.47
"AA3",0.52,0.33,0,0.02,0.11
"AA4",0.42,0.48,0.02,0,0.06
"AI1",0.07,0.85,0,0.04,0.02
"AI2",0,0.69,0,0.04,0.26
"AI3",0,0.88,0.02,0.02,0.07
"AI4",0.04,0.54,0.04,0.02,0.33
"IA1",0.02,0.8,0,0,0.16
"IA2",0.02,0.72,0,0.04,0.2
"IA3",0,0.97,0,0,0.02
"IA4",0.02,0.88,0,0,0.09
"AE1",0,0.02,0.59,0.09,0.28
"AE2",0,0,0.88,0.04,0.07
"AE3",0.02,0.07,0.47,0.09,0.33
"AE4",0.02,0,0.9,0.02,0.04
"EA1",0.02,0,0.9,0.04,0.02
"EA2",0,0.04,0.85,0.07,0.02
"EA3",0,0.02,0.45,0.28,0.23
"EA4",0.02,0.01,0.52,0.28,0.16
"AO1",0,0.07,0,0.62,0.3
"AO2",0,0.07,0,0.8,0.11
"AO3",0,0.07,0.02,0.57,0.33
"AO4",0,0.04,0,0.64,0.3
"OA1",0,0.02,0,0.76,0.21
"OA2",0,0.02,0.02,0.61,0.33
"OA3",0,0.07,0,0.83,0.09
"IE3",0,0.02,0.21,0.23,0.52
"IE4",0,0.02,0.11,0.38,0.47
"EI1",0.02,0.04,0.07,0.69,0.16
"EI2",0,0.04,0.07,0.73,0.14
"EI3",0,0.02,0.09,0.64,0.23
"EI4",0.02,0.02,0.14,0.47,0.35
"IO4",0,0.04,0,0.64,0.3
"EE3",0,0,0.04,0,0.95
"EO3",0,0.07,0,0.23,0.69
"EO4",0,0.02,0.07,0.19,0.71
"OE3",0,0.02,0.02,0.06,0.9
