"Type","A","I","E","O","N"
"AA1",1,0,0,0,0
"AA2",0.16,0.14,0,0.1,0.6
"AA3",0.42,0.26,0,0.04,0.28
"AA4",0.3,0.44,0,0.08,0.18
"AI1",0.04,0.88,0,0.04,0.04
"AI2",0.02,0.54,0.02,0.14,0.28
"AI3",0.14,0.7,0,0.08,0.08
"AI4",0.04,0.6,0,0.16,0.2
"IA1",0.06,0.6,0,0.12,0.22
"IA3",0.04,0.8,0,0.08,0.08
"IA4",0.06,0.66,0,0.1,0.18
"AE1",0,0.04,0.48,0.14,0.34
"AE2",0.02,0,0.94,0,0.04
"AE3",0.04,0.06,0.34,0.18,0.38
"AE4",0,0.04,0.88,0,0.08
"EA1",0,0.04,0.94,0.02,0
"EA2",0.02,0.02,0.86,0,0.1
"EA3",0.02,0.04,0.34,0.34,0.26
"EA4",0.02,0.08,0.42,0.16,0.32
"AO1",0,0.24,0.04,0.56,0.16
"AO2",0,0.28,0.08,0.48,0.16
"AO3",0.02,0.48,0.02,0.24,0.24
"AO4",0,0.34,0.02,0.38,0.26
"OA1",0,0.2,0,0.58,0.22
"OA2",0,0.36,0.04,0.22,0.38
"OA3",0,0.4,0,0.5,0.1
"OA4",0,0.42,0.1,0.22,0.26
"II3",0,0.42,0.02,0.12,0.44
