"Type","A","I","E","O","N"
"AA1",0.85,0,0,0,0.15
"AA2",0.55,0,0,0,0.45
"AA3",0.65,0,0,0,0.35
"AA4",0.95,0,0,0,0.05
"AI1",0,1,0,0,0
"AI2",0,0.5,0,0,0.5
"AI3",0,0.65,0,0,0.35
"AI4",0,0.7,0,0,0.3
"IA1",0,0.95,0,0,0.05
"IA2",0,0.75,0,0,0.25
"IA3",0,0.6,0,0,0.4
"IA4",0,0.9,0,0,0.1
"AE1",0,0,0.9,0,0.1
"AE2",0,0,0.7,0,0.3
"AE3",0,0,0.6,0,0.4
"AE4",0,0,0.85,0,0.15
"EA1",0,0,0.7,0,0.3
"EA2",0,0,0.7,0,0.3
"EA3",0,0,0.6,0,0.4
"EA4",0,0,0.9,0,0.1
"AO1",0,0.4,0,0.35,0.25
"AO2",0,0.2,0,0.2,0.6
"AO3",0,0.15,0,0.45,0.4
"AO4",0,0.2,0,0.75,0.05
"OA1",0,0.05,0,0.7,0.25
"OA2",0,0.4,0,0.35,0.25
"OA3",0,0.45,0,0.05,0.5
"OA4",0,0.2,0,0.5,0.3
"II1",0,0.75,0,0,0.25
"II2",0,0.35,0,0,0.65
"II3",0,0.15,0,0,0.85
"II4",0,0.9,0,0,0.1
"IE1",0,0,0.55,0.05,0.4
"IE2",0,0,0.3,0,0.7
"IE3",0,0,0.25,0.2,0.55
"IE4",0,0,0.55,0.2,0.25
"EI1",0,0,0.25,0.3,0.45
"EI2",0,0,0.5,0.1,0.4
"EI3",0,0,0.2,0.1,0.7
"EI4",0,0,0.7,0.05,0.25
"IO1",0,0.25,0,0.2,0.55
"IO2",0,0.1,0,0.3,0.6
"IO3",0,0.05,0,0.35,0.6
"IO4",0,0.1,0,0.65,0.25
"OI1",0,0.15,0,0.65,0.2
"OI2",0,0.15,0,0.2,0.65
"OI3",0,0.1,0,0.3,0.6
"OI4",0,0.3,0,0.4,0.3
"EE1",0,0,0.5,0,0.5
"EE2",0,0,0.1,0,0.9
"EE3",0,0,0.1,0,0.9
"EE4",0,0,0.6,0,0.4
"EO1",0,0.25,0.1,0.2,0.45
"EO2",0,0.3,0.15,0,0.55
"EO3",0,0,0.2,0,0.8
"EO4",0,0.2,0.2,0,0.6
"OE1",0,0,0.3,0,0.7
"OE2",0,0.05,0.3,0,0.65
"OE3",0,0,0.05,0,0.95
"OE4",0,0.45,0.25,0.2,0.1
"OO1",0,0.1,0,0.35,0.55
"OO2",0,0.1,0,0.05,0.85
"OO3",0,0,0,0.2,0.8
"OO4",0,0,0,0.75,0.25
