"Type","A","I","E","O","N"
"AA1",0.803571429,0.017857143,0.035714286,0,0.142857143
"AA2",0.678571429,0.053571429,0.017857143,0,0.25
"AA3",0.75,0.053571429,0.035714286,0,0.160714286
"AA4",0.857142857,0.017857143,0.017857143,0,0.107142857
"AI1",0.017857143,0.892857143,0.035714286,0,0.053571429
"AI2",0.035714286,0.714285714,0.035714286,0.035714286,0.178571429
"AI3",0.017857143,0.785714286,0.017857143,0.053571429,0.125
"AI4",0,0.857142857,0.017857143,0.035714286,0.089285714
"IA1",0.035714286,0.696428571,0.017857143,0.053571429,0.196428571
"IA2",0,0.767857143,0.017857143,0.071428571,0.142857143
"IA3",0.053571429,0.785714286,0.035714286,0,0.125
"IA4",0.017857143,0.892857143,0,0.035714286,0.053571429
"AE1",0,0.017857143,0.767857143,0.017857143,0.196428571
"AE2",0.017857143,0.035714286,0.839285714,0,0.107142857
"AE3",0,0,0.732142857,0.071428571,0.196428571
"AE4",0,0.017857143,0.857142857,0.017857143,0.107142857
"EA1",0,0.053571429,0.767857143,0.035714286,0.142857143
"EA2",0,0.035714286,0.821428571,0.035714286,0.107142857
"EA3",0.017857143,0.035714286,0.785714286,0.053571429,0.107142857
"EA4",0.017857143,0.017857143,0.821428571,0.035714286,0.107142857
"AO1",0.035714286,0.232142857,0.017857143,0.571428571,0.142857143
"AO2",0.017857143,0.178571429,0.053571429,0.607142857,0.142857143
"AO3",0.017857143,0.178571429,0.035714286,0.553571429,0.214285714
"AO4",0,0.071428571,0.035714286,0.696428571,0.196428571
"OA1",0,0.125,0.035714286,0.589285714,0.25
"OA2",0,0.214285714,0.035714286,0.535714286,0.214285714
"OA3",0,0.125,0.071428571,0.660714286,0.142857143
"OA4",0.017857143,0.178571429,0,0.660714286,0.142857143
"II1",0,0.678571429,0,0.035714286,0.285714286
"II2",0.035714286,0.642857143,0.017857143,0.053571429,0.25
"II3",0.017857143,0.285714286,0.125,0.089285714,0.482142857
"II4",0,0.678571429,0.017857143,0,0.303571429
"IE1",0,0.017857143,0.571428571,0.142857143,0.267857143
"IE2",0,0.071428571,0.464285714,0.285714286,0.178571429
"IE3",0.017857143,0.017857143,0.357142857,0.285714286,0.321428571
"IE4",0,0.089285714,0.321428571,0.392857143,0.196428571
"EI1",0,0.071428571,0.303571429,0.410714286,0.214285714
"EI2",0,0.017857143,0.5,0.285714286,0.196428571
"EI3",0,0.089285714,0.464285714,0.125,0.321428571
"EI4",0,0.017857143,0.642857143,0.035714286,0.303571429
"IO1",0,0.267857143,0.053571429,0.303571429,0.375
"IO2",0.035714286,0.267857143,0.035714286,0.267857143,0.392857143
"IO3",0,0.089285714,0.071428571,0.339285714,0.5
"IO4",0,0.125,0.017857143,0.517857143,0.339285714
"OI1",0.017857143,0.125,0,0.607142857,0.25
"OI2",0,0.25,0.017857143,0.321428571,0.410714286
"OI3",0,0.25,0.071428571,0.321428571,0.357142857
"OI4",0,0.285714286,0.035714286,0.285714286,0.392857143
"EE1",0.035714286,0,0.482142857,0,0.482142857
"EE2",0.017857143,0.035714286,0.232142857,0,0.714285714
"EE3",0.017857143,0.035714286,0.285714286,0,0.660714286
"EE4",0,0.017857143,0.303571429,0,0.678571429
"EO1",0,0.053571429,0.267857143,0.285714286,0.392857143
"EO2",0,0.089285714,0.285714286,0.214285714,0.410714286
"EO3",0,0.035714286,0.232142857,0.178571429,0.553571429
"EO4",0.035714286,0.107142857,0.285714286,0.553571429,0.017857143
"OE1",0,0.017857143,0.267857143,0.107142857,0.607142857
"OE2",0,0,0.285714286,0.214285714,0.5
"OE3",0,0.017857143,0.267857143,0.285714286,0.428571429
"OE4",0,0.107142857,0.178571429,0.339285714,0.375
"OO1",0.017857143,0.089285714,0.071428571,0.517857143,0.303571429
"OO2",0,0.142857143,0.017857143,0.410714286,0.428571429
"OO3",0.017857143,0.035714286,0.089285714,0.321428571,0.535714286
"OO4",0,0.107142857,0.017857143,0.553571429,0.321428571
