ConclDir;ConclQ;breaktype;code;correctness;datetime;givenanswer;givenanswertext;nouns;ordering;ordertext;p1;p2;sequence;syllog;time;validConclusions;vpid;cid;gender;edu;age;N;ACC;time_all;time_ACC;model;ACCinKJL;sdTimeACC;subj
AC;A;default;DZXULD;0;2016-07-05T04:50:24-04:00;4;4: All designers are trainers;designers,trainers,architects;6;Oq,Iq,Eq,Aq;Premise 1: All designers are trainers;NA;0;A_1;7464;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;#N/A;#N/A;7994,466432;1
AC;E;default;DZXULD;0;2016-07-05T04:50:30-04:00;3;3: No miners are poets;miners,poets,skaters;6;Oq,Iq,Eq,Aq;Premise 1: No miners are poets;NA;1;E_1;4066;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;#N/A;#N/A;7994,466432;1
AC;I;default;DZXULD;0;2016-07-05T04:50:35-04:00;2;2: Some nurses are actors;nurses,actors,drillers;6;Oq,Iq,Eq,Aq;Premise 1: Some nurses are actors;NA;2;I_1;2938;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;#N/A;#N/A;7994,466432;1
AC;O;default;DZXULD;0;2016-07-05T04:50:46-04:00;1;1: Some joggers are not riders;joggers,riders,counselors;6;Oq,Iq,Eq,Aq;Premise 1: Some joggers are not riders;NA;3;O_1;9215;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;#N/A;#N/A;7994,466432;1
AC;I;default;DZXULD;1;2016-07-05T04:51:28-04:00;2;2: Some managers are clerks;managers,models,clerks;6;Oq,Iq,Eq,Aq;Premise 1: Some models are managers;Premise 2: All models are clerks;0;IA4;8281;Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,81;7994,466432;1
AC;E;default;DZXULD;1;2016-07-05T04:51:54-04:00;3;3: No divers are linguists;divers,carpenters,linguists;6;Oq,Iq,Eq,Aq;Premise 1: No divers are carpenters;Premise 2: All linguists are carpenters;1;EA3;24681;Eac,Eca,Oac,Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,8;7994,466432;1
CA;I;default;DZXULD;1;2016-07-05T04:52:08-04:00;8;8: Some skaters are climbers;climbers,therapists,skaters;6;Oq,Iq,Eq,Aq;Premise 1: All therapists are climbers;Premise 2: Some skaters are therapists;2;AI2;12466;Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,9;7994,466432;1
AC;A;default;DZXULD;1;2016-07-05T04:52:20-04:00;4;4: All bankers are teachers;bankers,golfers,teachers;6;Oq,Iq,Eq,Aq;Premise 1: All bankers are golfers;Premise 2: All golfers are teachers;3;AA1;9905;Aac,Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,88;7994,466432;1
CA;O;default;DZXULD;1;2016-07-05T04:52:36-04:00;7;7: Some actuaries are not opticians;opticians,boxers,actuaries;6;Oq,Iq,Eq,Aq;Premise 1: Some boxers are not opticians;Premise 2: All boxers are actuaries;4;OA4;13906;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;2;0,42;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:53:06-04:00;-1;Space: No conclusion is possible;sailors,chemists,potters;6;Oq,Iq,Eq,Aq;Premise 1: Some chemists are sailors;Premise 2: Some potters are not chemists;5;IO2;27888;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,31;7994,466432;1
CA;O;default;DZXULD;1;2016-07-05T04:53:23-04:00;7;7: Some bakers are not gamblers;gamblers,sculptors,bakers;6;Oq,Iq,Eq,Aq;Premise 1: All gamblers are sculptors;Premise 2: Some bakers are not sculptors;6;AO3;15126;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;2;0,4;7994,466432;1
CA;I;default;DZXULD;0;2016-07-05T04:53:43-04:00;8;8: Some skaters are poets;poets,miners,skaters;6;Oq,Iq,Eq,Aq;Premise 1: Some miners are poets;Premise 2: All skaters are miners;7;IA2;18984;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,12;7994,466432;1
AC;E;default;DZXULD;1;2016-07-05T04:53:55-04:00;3;3: No investors are jugglers;investors,barbers,jugglers;6;Oq,Iq,Eq,Aq;Premise 1: All investors are barbers;Premise 2: No jugglers are barbers;8;AE3;9454;Eac,Eca,Oac,Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,81;7994,466432;1
CA;O;default;DZXULD;1;2016-07-05T04:54:19-04:00;7;7: Some drivers are not writers;writers,hikers,drivers;6;Oq,Iq,Eq,Aq;Premise 1: No writers are hikers;Premise 2: Some drivers are hikers;9;EI3;22306;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,21;7994,466432;1
CA;O;default;DZXULD;1;2016-07-05T04:54:31-04:00;7;7: Some auditors are not painters;painters,cleaners,auditors;6;Oq,Iq,Eq,Aq;Premise 1: No cleaners are painters;Premise 2: Some auditors are cleaners;10;EI2;10233;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,37;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:55:14-04:00;-1;Space: No conclusion is possible;dentists,lifeguards,plumbers;6;Oq,Iq,Eq,Aq;Premise 1: No lifeguards are dentists;Premise 2: Some lifeguards are not plumbers;11;EO4;41106;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,57;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:55:39-04:00;-1;Space: No conclusion is possible;assistants,farmers,scholars;6;Oq,Iq,Eq,Aq;Premise 1: No assistants are farmers;Premise 2: No farmers are scholars;12;EE1;23275;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,44;7994,466432;1
AC;E;default;DZXULD;0;2016-07-05T04:55:48-04:00;3;3: No drillers are nurses;drillers,actors,nurses;6;Oq,Iq,Eq,Aq;Premise 1: No drillers are actors;Premise 2: All actors are nurses;13;EA1;7861;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,03;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:56:10-04:00;-1;Space: No conclusion is possible;pilots,singers,tailors;6;Oq,Iq,Eq,Aq;Premise 1: Some pilots are not singers;Premise 2: Some singers are not tailors;14;OO1;20334;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,37;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:56:28-04:00;-1;Space: No conclusion is possible;artists,surfers,planners;6;Oq,Iq,Eq,Aq;Premise 1: No surfers are artists;Premise 2: No surfers are planners;15;EE4;16584;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,66;7994,466432;1
CA;O;default;DZXULD;0;2016-07-05T04:56:45-04:00;7;7: Some boxers are not dancers;dancers,typists,boxers;6;Oq,Iq,Eq,Aq;Premise 1: Some typists are not dancers;Premise 2: All boxers are typists;16;OA2;14496;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,13;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:56:56-04:00;-1;Space: No conclusion is possible;engineers,fencers,campers;6;Oq,Iq,Eq,Aq;Premise 1: Some engineers are not fencers;Premise 2: Some campers are not fencers;17;OO3;4129;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,64;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:57:19-04:00;-1;Space: No conclusion is possible;tellers,climbers,doctors;6;Oq,Iq,Eq,Aq;Premise 1: Some climbers are not tellers;Premise 2: No doctors are climbers;18;OE2;21661;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,51;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:57:42-04:00;-1;Space: No conclusion is possible;counselors,joggers,riders;6;Oq,Iq,Eq,Aq;Premise 1: Some joggers are not counselors;Premise 2: No joggers are riders;19;OE4;20621;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,49;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:57:57-04:00;-1;Space: No conclusion is possible;chefs,runners,scientists;6;Oq,Iq,Eq,Aq;Premise 1: No runners are chefs;Premise 2: No scientists are runners;20;EE2;13390;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,44;7994,466432;1
AC;O;default;DZXULD;1;2016-07-05T04:58:15-04:00;1;1: Some hunters are not athletes;hunters,lawyers,athletes;6;Oq,Iq,Eq,Aq;Premise 1: Some hunters are lawyers;Premise 2: No athletes are lawyers;21;IE3;16386;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,2;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:58:38-04:00;-1;Space: No conclusion is possible;cooks,mayors,swimmers;6;Oq,Iq,Eq,Aq;Premise 1: Some mayors are cooks;Premise 2: Some swimmers are mayors;22;II2;21233;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,3;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:58:53-04:00;-1;Space: No conclusion is possible;poets,waiters,cashiers;6;Oq,Iq,Eq,Aq;Premise 1: Some poets are waiters;Premise 2: All cashiers are waiters;23;IA3;12638;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,28;7994,466432;1
CA;A;default;DZXULD;1;2016-07-05T04:59:04-04:00;0;0: All brokers are secretaries;secretaries,agents,brokers;6;Oq,Iq,Eq,Aq;Premise 1: All agents are secretaries;Premise 2: All brokers are agents;24;AA2;9524;Aca,Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,54;7994,466432;1
AC;O;default;DZXULD;1;2016-07-05T04:59:15-04:00;1;1: Some students are not cyclists;students,buyers,cyclists;6;Oq,Iq,Eq,Aq;Premise 1: Some students are not buyers;Premise 2: All cyclists are buyers;25;OA3;9293;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;2;0,36;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:59:20-04:00;-1;Space: No conclusion is possible;actors,workers,painters;6;Oq,Iq,Eq,Aq;Premise 1: Some workers are not actors;Premise 2: Some painters are not workers;26;OO2;3832;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,42;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:59:29-04:00;-1;Space: No conclusion is possible;architects,designers,trainers;6;Oq,Iq,Eq,Aq;Premise 1: Some designers are not architects;Premise 2: Some designers are trainers;27;OI4;6676;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,47;7994,466432;1
AC;I;default;DZXULD;1;2016-07-05T04:59:40-04:00;2;2: Some judges are porters;judges,brewers,porters;6;Oq,Iq,Eq,Aq;Premise 1: All brewers are judges;Premise 2: Some brewers are porters;28;AI4;9859;Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,83;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T04:59:48-04:00;-1;Space: No conclusion is possible;travelers,novelists,analysts;6;Oq,Iq,Eq,Aq;Premise 1: Some novelists are not travelers;Premise 2: Some novelists are not analysts;29;OO4;6238;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,66;7994,466432;1
NVC;NVC;default;DZXULD;0;2016-07-05T04:59:57-04:00;-1;Space: No conclusion is possible;butchers,tutors,packers;6;Oq,Iq,Eq,Aq;Premise 1: Some tutors are butchers;Premise 2: No tutors are packers;30;IE4;6737;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,28;7994,466432;1
CA;I;default;DZXULD;1;2016-07-05T05:00:25-04:00;8;8: Some soldiers are florists;florists,editors,soldiers;6;Oq,Iq,Eq,Aq;Premise 1: All editors are florists;Premise 2: All editors are soldiers;31;AA4;26747;Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,16;7994,466432;1
AC;O;default;DZXULD;1;2016-07-05T05:01:04-04:00;1;1: Some climbers are not skaters;climbers,therapists,skaters;6;Oq,Iq,Eq,Aq;Premise 1: All therapists are climbers;Premise 2: No therapists are skaters;32;AE4;18489;Oac;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,08;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:01:14-04:00;-1;Space: No conclusion is possible;farmers,scholars,assistants;6;Oq,Iq,Eq,Aq;Premise 1: No farmers are scholars;Premise 2: Some assistants are not scholars;33;EO3;8241;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,49;7994,466432;1
CA;O;default;DZXULD;0;2016-07-05T05:01:27-04:00;7;7: Some nurses are not actors;actors,drillers,nurses;6;Oq,Iq,Eq,Aq;Premise 1: All drillers are actors;Premise 2: Some nurses are not drillers;34;AO2;11706;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,17;7994,466432;1
AC;I;default;DZXULD;1;2016-07-05T05:01:36-04:00;2;2: Some planners are surfers;planners,artists,surfers;6;Oq,Iq,Eq,Aq;Premise 1: Some planners are artists;Premise 2: All artists are surfers;35;IA1;7129;Iac,Ica;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,88;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:01:41-04:00;-1;Space: No conclusion is possible;workers,actors,painters;6;Oq,Iq,Eq,Aq;Premise 1: Some workers are actors;Premise 2: Some painters are not actors;36;IO3;3093;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,49;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:01:52-04:00;-1;Space: No conclusion is possible;runners,scientists,chefs;6;Oq,Iq,Eq,Aq;Premise 1: No runners are scientists;Premise 2: Some scientists are not chefs;37;EO1;9328;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,28;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:02:13-04:00;-1;Space: No conclusion is possible;novelists,travelers,analysts;6;Oq,Iq,Eq,Aq;Premise 1: Some novelists are travelers;Premise 2: Some travelers are analysts;38;II1;19120;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,33;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:02:18-04:00;-1;Space: No conclusion is possible;doctors,tellers,climbers;6;Oq,Iq,Eq,Aq;Premise 1: Some doctors are not tellers;Premise 2: No tellers are climbers;39;OE1;3612;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,37;7994,466432;1
NVC;NVC;default;DZXULD;1;2016-07-05T05:02:30-04:00;-1;Space: No conclusion is possible;poets,cashiers,waiters;6;Oq,Iq,Eq,Aq;Premise 1: All poets are cashiers;Premise 2: All waiters are cashiers;40;AA3;10627;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,31;7994,466432;1
AC;E;default;DZXULD;1;2016-07-05T05:02:44-04:00;3;3: No sculptors are gamblers;sculptors,bakers,gamblers;6;Oq,Iq,Eq,Aq;Premise 1: All sculptors are bakers;Premise 2: No bakers are gamblers;41;AE1;11388;Eac,Eca,Oac,Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;1;0,87;7994,466432;1
NVC;NVC;default;DZXULD;0;2016-07-05T05:03:07-04:00;-1;Space: No conclusion is possible;managers,clerks,models;6;Oq,Iq,Eq,Aq;Premise 1: No managers are clerks;Premise 2: Some clerks are models;42;EI1;21072;Oca;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;3;0,08;7994,466432;1
AC;I;default;DZXULD;0;2016-07-05T05:03:18-04:00;2;2: Some brokers are agents;brokers,secretaries,agents;6;Oq,Iq,Eq,Aq;Premise 1: All brokers are secretaries;Premise 2: Some secretaries are agents;43;AI1;9811;NVC;54;DZXULD;female;Masters degree;56;64;0,78125;12183,46875;12357,82;NVC;0,16;7994,466432;1
